Name,Price,Region,Date
OYO Home 60230 Luxurious Stay Near Amex,1959,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 129 Sector 30,1984,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 26811 Birdhouse Residency,2105,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 18693 Levante Suite,1939,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 11479 Hotel Altus Residency,2040,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 22234 Ridge View Residency Deluxe,1778,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 30095 Vizion Rezi,1776,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
SilverKey Executive Stays 20036 Akash Neem Marg,1849,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 120 Shushant Lok,1882,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 032 Galleria Market,2810,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 062 Cyber City,2084,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 47183 Royal Inn,1768,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
Capital O 44230 Casa Haven Deluxe,2073,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
Collection O 30043 Yellow White Residency,1847,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Flagship 477 HUDA City Centre,2173,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
Collection O 41367 Bakhtawar Chowk,1883,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 22867 Crystal Residency,2560,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 079 Sector 46,1959,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 45652 Grand Oyster Homestay,2125,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO Townhouse 018 Medanta,1947,"45 OYOs in DLFPhase1,Gurgaon,Haryana","Mon, 16 Sep"
OYO 18693 Levante Suite,1939,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO 11479 Hotel Altus Residency,2040,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO Townhouse 120 Shushant Lok,1882,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO Townhouse 062 Cyber City,2084,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
SilverKey Executive Stays 20036 Akash Neem Marg,1849,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
Collection O 30043 Yellow White Residency,1847,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO 26811 Birdhouse Residency,2105,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
Capital O 44230 Casa Haven Deluxe,2073,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO Home 60230 Luxurious Stay Near Amex,1959,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
Capital O 13773 Hotel The Shoba Estate Gold Suite,1940,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO 13783 The Claire,2100,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
OYO Flagship 477 HUDA City Centre,2173,"20 OYOs in DlfCyberCity,Gurugram,Haryana","Mon, 16 Sep"
